Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","I never have credit before and try to apply for credit card and my credit score is so low and drop around XXXX and cant apply for any credit score On, XX/XX/2019 the synchrony bank report is XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I had an XXXX XXXX account that was left unpaid due to unemployment. 

I made arrangements with XXXX beginning with a payment schedule commencing XX/XX/2018. The full balance of {$4000.00} was paid in full. 

The account shows delinquent on ALL credit reporting bureaus such as XXXX, XXXX and Experian."
Credit card or prepaid card,"Had 2 XXXX cards valued {$300.00} and sold them thru PayPal and I've never gotten my money and then was told to repurchase 2 more cards value {$300.00} or I would be charged fraud, so I did this value overall I'm out {$600.00} and want my money"
Credit card,"For the last 3 weeks for 3 times each day, Saturday and Sunday as well, Capital one bank has called me and left a voice message about my account. I have told them to stop and they are refusing to."
"Money transfer, virtual currency, or money service",I had a pending payment for over XXXX hours. When I contacted zelle they assured me that the funds would be released immediately.
Credit card,"In XXXX of 2023, I transferred {$1000.00} from my XXXX  credit card to my Bank of America credit card, XXXX claims they never received the {$1000.00} payment and BOA say they did pay the {$1000.00}. Since then I've been paying on XXXX separate {$1000.00} credit cards and interest."
Credit card or prepaid card,I made {$200.00} x2 {$400.00} charges om my credit card ending in XXXX then I issued a refund to the same card and paypal zettle can't find my money
Credit card,Mercury Financial Services has failed my audit
Credit card or prepaid card,"Company CareCredit/XXXX XXXX Previous balance XX/XX/2018 {$1700.00} with 1 % interest rate New balance XX/XX/2018 {$2700.00} with 26.99 % interest rate interest charge ( net ) {$1000.00} The math does not add up, why so much?"
Credit card,I am requesting my 1099-C from American Express
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts that I am never late for but they're reporting me as late.
Credit card,This is absurd because I have consistently made timely payments on this account and have never been overdue. Please adjust my account to reflect this accurately.
Credit card,"I never been late with this accounts, and please update it, and I always paid on time that's why this is ridiculous."
Checking or savings account,On XX/XX/year> my capital one business checking account along with all my money just disappeared and capital one cant give me any info.
Credit card,"We were surprised to find that Yard Card added a {$120.00} promotional fee to a XXXX-month no interest plan. We were n't informed of this addition nor is our purchase now "" interest free. ''"
"Payday loan, title loan, or personal loan",Jpmcb Card checking my report and noticed this account I haven't applied for.
Debt collection,"I FOUND OUT THAT SOMEONE HAD BEEN USING MY NAME TO OPEN UP CREDIT CARD ACCOUNT WITHOUT MY KNOWLEDGE MIDLAND FUNDING LLC # XXXX, MIDLAND FUNDING LLC XXXX XXXX, MIDLAND FUNDING LLC XXXX XXXX i HAVE FILED A FTC AND XXXX POLICE REPORT OF ID THEFT."
Credit card,"I have always ensured payments on this account are made promptly, avoiding any overdue status. I'm uncertain about the reasons behind reports of late payment remarks on my accounts. Under 15 USC 1666b, billing errors should be addressed."
Checking or savings account,PayPal illegally froze my account and flat out refuses to unblock my account
Credit reporting or other personal consumer reports,"I've learned that the creditor didn't provide the necessary XXXX-day notice along with a statement, which would have given me enough time to process payments and avoid late fees on these accounts. This mistake has caused a misrepresentation of the payment status, indicating a billing error by the creditor."
"Money transfer, virtual currency, or money service",I am concerned about Zelles handling of disputes even though I have used it in the past.
Credit card or prepaid card,"I always paid on time, and this giving me XXXX, I neves miss paying this account, Please update it and remove the Inacccurate late payment on my account and I can't XXXX XXXX with this problem, It's hard for me to accept it."
Credit card,See the attached documents. I want the bureau to start the investigation on these accounts. I am never been late on this account.
Credit card or prepaid card,"I want this late payment remove from my account, and I never been late with this account I working so hard to pay this monthly and this is not acceptable. 
See the documents attached."
"Credit reporting, credit repair services, or other personal consumer reports",I booked a hotel through XXXX and paid {$990.00}. I left earlier and paid on my way out in the snount of {$450.00}. I have contacted both XXXX and PayPal Mastercard about the dispute. The {$990.00} is still reflecting in the balance owed to paypal.
Credit card,Company wrote of balance as a tax break. Has not provided 1099c to me.
Credit card,"I affirm that the inclusion of incorrectly reported late payment remarks on my accounts is a breach of the 15 USC 1666. Every payment linked to these accounts has been promptly made, and any departure from this precise reporting is unjust and unlawful."
Checking or savings account,"Changes were made to my account to were I could not leave link it and have not received a notice of this change, very inconvenient"
